id_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza,id_distrito_local,desc_distrito_local,desc_barrio_local
270359458,DOMINO'S,Abierta,Bulevar,3,RETIRO,IBIZA
270135410,CAFETERIA DON JOSE,Abierta,Acera,9,MONCLOA-ARAVACA,ARGUELLES
270231564,LIZARRAN,Abierta,Acera,3,RETIRO,IBIZA
270533245,RETRO,Abierta,Acera,3,RETIRO,LOS JERONIMOS
30000409,CERVECERIA CRUZ BANCA,Abierta,Acera,3,RETIRO,ESTRELLA
285006210,EL BISTR? DEL RETIRO,Abierta,Acera,3,RETIRO,LOS JERONIMOS
120000372,BAR EVA,Abierta,Calle peatonal,12,USERA,ORCASITAS
270306634,A LA MESA BAR,Abierta,Acera,12,USERA,ORCASITAS
270419125,CAFETERIA PAQUI,Abierta,Acera,12,USERA,ORCASITAS
270527491,EL RINCON DE PEZ,Abierta,Acera,1,CENTRO,UNIVERSIDAD
270527005,LA PE?A SORIANA CERVECERIA,Abierta,Plaza peatonal,12,USERA,ORCASITAS
280053530,HELADOS ITALIANOS TOZZI,Abierta,Acera,11,CARABANCHEL,SAN ISIDRO
270053142,SIN ESPECIFICAR,Abierta,Acera,1,CENTRO,SOL
270193516,CAFETERIA DIXEI BAR,Abierta,Calle peatonal,1,CENTRO,SOL
270236600,GF CRIADO MARISQUERIA,Abierta,Acera,5,CHAMARTIN,PROSPERIDAD
280011317,SHISHA,Abierta,Acera,1,CENTRO,SOL
280011372,CORNUCOPIA,Abierta,Calle peatonal,1,CENTRO,SOL
270367051,COEUR D?AMANDE,Abierta,Acera,3,RETIRO,NI?O JESUS
270059525,DEPORTES PERISO,Abierta,Acera,3,RETIRO,PACIFICO
270549342,MUESTRA,Abierta,Plaza con bandas permanentes de circulaci? rodada,1,CENTRO,JUSTICIA
10003297,HOTEL MELIA,Abierta,Plaza peatonal,1,CENTRO,CORTES
10001180,100 MONTADITOS,Abierta,Calle peatonal,1,CENTRO,SOL
270524297,LA LONJA,Abierta,Plaza peatonal,1,CENTRO,PALACIO
280011235,EL BUDA FELIZ,Abierta,Calle peatonal,1,CENTRO,UNIVERSIDAD
270051443,CASA VALI?O,Abierta,Calle peatonal,1,CENTRO,SOL
270230214,BOABAD RESTAURANTE,Abierta,Plaza peatonal,1,CENTRO,EMBAJADORES
10000325,NEMRUT KEBAB PIZZA,Abierta,Acera,1,CENTRO,PALACIO
280011398,100 MONTADITOS,Abierta,Calle peatonal,1,CENTRO,SOL
270053121,RESTAURANTE TINEO,Abierta,Calle peatonal,1,CENTRO,SOL
270527678,MAXIMILIAN,Abierta,Plaza con bandas permanentes de circulaci? rodada,1,CENTRO,PALACIO
280011897,RESTAURANTE CASA LABRA,Abierta,Calle peatonal,1,CENTRO,SOL
270049437,BASS LUPULO,Abierta,Acera,1,CENTRO,UNIVERSIDAD
40000395,TRESS PUB,Cerrada,Acera,4,SALAMANCA,GUINDALERA
280007766,TOMA JAMON,Abierta,Acera,1,CENTRO,PALACIO
270529780,ALHAMBRA CERVEZAS,Abierta,Acera,1,CENTRO,PALACIO
80001071,VOLAPIE,Abierta,Acera,8,FUENCARRAL-EL PARDO,VALVERDE
270535481,CERVECERIA 100 MONTADITOS,Abierta,Acera,8,FUENCARRAL-EL PARDO,VALVERDE
270529817,CALA MILLOR PASTELER?A,Abierta,Acera,8,FUENCARRAL-EL PARDO,MIRASIERRA
270543395,"BEEFCIUS, S.L.",Abierta,Acera,8,FUENCARRAL-EL PARDO,VALVERDE
270130393,R?TULO NO INFORMADO,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
270359055,LIZARRAN,Abierta,Acera,8,FUENCARRAL-EL PARDO,LA PAZ
80001221,ROSCA PIZZA,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
280048233,LA COSTA,Abierta,Acera,8,FUENCARRAL-EL PARDO,PE?A GRANDE
270034576,BAR SIG?ENZA / LOCAL L-20,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
280048623,RESTAURANTE,Abierta,Acera,8,FUENCARRAL-EL PARDO,VALVERDE
